experiment,main_set,model,model_short,surface,pooling,real_split,n_texts,n_layers,hidden_size,max_abs_activation,max_abs_layer,min_edim90_components,min_edim90_fraction,min_edim90_layer,collapse_layers_edim90_le_2,collapse_layer_indices
E03,yes,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,last,item,230,29,2048,12736.0,26,1,0.004347826086956522,3,24,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
E04a,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,first,item,230,29,2048,13072.0,26,1,0.004347826086956522,3,25,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
E04b,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,mean,item,230,29,2048,12736.0,26,1,0.004347826086956522,3,25,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
E05,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,full,last,item,490,29,2048,12736.0,26,1,0.0020408163265306124,3,21,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
E05b,yes,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,full,last,family,490,29,2048,12736.0,26,1,0.0020408163265306124,3,21,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
E06,yes,Qwen/Qwen3-8B,Qwen3-8B,base,last,item,230,37,4096,13920.0,17,1,0.004347826086956522,7,29,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
E06b,yes,Qwen/Qwen3-8B,Qwen3-8B,full,last,family,490,37,4096,13904.0,17,1,0.0020408163265306124,7,29,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
E07,yes,QCRI/Fanar-1-9B,Fanar-1-9B,base,last,item,230,43,3584,509.0,41,72,0.3130434782608696,42,0,
E07b,yes,QCRI/Fanar-1-9B,Fanar-1-9B,full,last,family,490,43,3584,539.0,41,116,0.23673469387755103,42,0,
E08,yes,humain-ai/ALLaM-7B-Instruct-preview,ALLaM-7B,base,last,item,230,33,4096,1694.0,4,1,0.004347826086956522,3,29,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
E08b,yes,humain-ai/ALLaM-7B-Instruct-preview,ALLaM-7B,full,last,family,490,33,4096,1694.0,4,1,0.0020408163265306124,3,29,3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
