experiment,main_set,model,model_short,surface,pooling,real_split,probe,probe_label,target,split_kind,n_items,train_size,test_size,group_overlap,peak_layer,peak_depth,peak_accuracy,peak_control_accuracy,peak_selectivity,ngram_accuracy,ngram_gap,chance
E01_Qwen3-1.7B-Base_base_template,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,real_templates_random,real templates,template,,130,104,26,,1,,0.8076923076923077,0.0,0.8076923076923077,0.6538461538461539,0.15384615384615385,0.07692307692307693
E01_Qwen3-1.7B-Base_base_template,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,nonce_templates_random,nonce templates,template,,100,80,20,,2,,0.95,0.15,0.7999999999999999,0.3,0.6499999999999999,0.2
E01_Qwen3-1.7B-Base_base_template,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,nonce_templates_heldout_roots,nonce held-out roots,template,,100,80,20,,3,,1.0,0.15,0.85,0.6,0.4,0.2
E01_Qwen3-1.7B-Base_base_template,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,train_real_test_nonce_overlap,real -> nonce,template,,150,50,100,,2,,0.71,0.26,0.44999999999999996,0.58,0.13,0.2
E01_Qwen3-1.7B-Base_base_template,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,train_nonce_test_real_overlap,nonce -> real,template,,150,100,50,,4,,0.88,0.3,0.5800000000000001,0.78,0.09999999999999998,0.2
E02_Qwen3-1.7B-Base_base_template_root,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,real_templates_random,real templates,template,,130,104,26,,1,,0.8076923076923077,0.0,0.8076923076923077,0.6538461538461539,0.15384615384615385,0.07692307692307693
E02_Qwen3-1.7B-Base_base_template_root,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,nonce_templates_random,nonce templates,template,,100,80,20,,2,,0.95,0.15,0.7999999999999999,0.3,0.6499999999999999,0.2
E02_Qwen3-1.7B-Base_base_template_root,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,nonce_templates_heldout_roots,nonce held-out roots,template,,100,80,20,,3,,1.0,0.15,0.85,0.6,0.4,0.2
E02_Qwen3-1.7B-Base_base_template_root,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,train_real_test_nonce_overlap,real -> nonce,template,,150,50,100,,2,,0.71,0.26,0.44999999999999996,0.58,0.13,0.2
E02_Qwen3-1.7B-Base_base_template_root,no,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,base,,item,train_nonce_test_real_overlap,nonce -> real,template,,150,100,50,,4,,0.88,0.3,0.5800000000000001,0.78,0.09999999999999998,0.2
