experiment,model_short,surface,pooling,real_split,probe,probe_label,n_tokens,n,accuracy
E03,Qwen3-1.7B,base,last,item,real_templates_random,real templates,1,4,1.0
E03,Qwen3-1.7B,base,last,item,real_templates_random,real templates,2,15,0.7333333333333333
E03,Qwen3-1.7B,base,last,item,real_templates_random,real templates,3,7,0.8571428571428571
E03,Qwen3-1.7B,base,last,item,nonce_templates_random,nonce templates,2,3,1.0
E03,Qwen3-1.7B,base,last,item,nonce_templates_random,nonce templates,3,15,0.9333333333333333
E03,Qwen3-1.7B,base,last,item,nonce_templates_random,nonce templates,4,2,1.0
E03,Qwen3-1.7B,base,last,item,nonce_templates_heldout_roots,nonce held-out roots,2,2,1.0
E03,Qwen3-1.7B,base,last,item,nonce_templates_heldout_roots,nonce held-out roots,3,14,1.0
E03,Qwen3-1.7B,base,last,item,nonce_templates_heldout_roots,nonce held-out roots,4,4,1.0
E03,Qwen3-1.7B,base,last,item,train_real_test_nonce_overlap,real -> nonce,2,22,0.5454545454545454
E03,Qwen3-1.7B,base,last,item,train_real_test_nonce_overlap,real -> nonce,3,66,0.7272727272727273
E03,Qwen3-1.7B,base,last,item,train_real_test_nonce_overlap,real -> nonce,4,12,0.9166666666666666
E03,Qwen3-1.7B,base,last,item,train_nonce_test_real_overlap,nonce -> real,1,11,0.45454545454545453
E03,Qwen3-1.7B,base,last,item,train_nonce_test_real_overlap,nonce -> real,2,21,1.0
E03,Qwen3-1.7B,base,last,item,train_nonce_test_real_overlap,nonce -> real,3,18,1.0
E03,Qwen3-1.7B,base,last,item,real_roots_random,real roots,1,2,0.0
E03,Qwen3-1.7B,base,last,item,real_roots_random,real roots,2,8,0.375
E03,Qwen3-1.7B,base,last,item,real_roots_random,real roots,3,11,0.7272727272727273
E03,Qwen3-1.7B,base,last,item,nonce_roots_random,nonce roots,2,7,1.0
E03,Qwen3-1.7B,base,last,item,nonce_roots_random,nonce roots,3,11,1.0
E03,Qwen3-1.7B,base,last,item,nonce_roots_random,nonce roots,4,2,1.0
E03,Qwen3-1.7B,base,last,item,nonce_roots_heldout_templates,nonce roots held-out templates,2,1,1.0
E03,Qwen3-1.7B,base,last,item,nonce_roots_heldout_templates,nonce roots held-out templates,3,12,1.0
E03,Qwen3-1.7B,base,last,item,nonce_roots_heldout_templates,nonce roots held-out templates,4,7,1.0
E04a,Qwen3-1.7B,base,first,item,real_templates_random,real templates,1,4,0.5
E04a,Qwen3-1.7B,base,first,item,real_templates_random,real templates,2,15,0.3333333333333333
E04a,Qwen3-1.7B,base,first,item,real_templates_random,real templates,3,7,0.42857142857142855
E04a,Qwen3-1.7B,base,first,item,nonce_templates_random,nonce templates,2,3,0.3333333333333333
E04a,Qwen3-1.7B,base,first,item,nonce_templates_random,nonce templates,3,15,0.3333333333333333
E04a,Qwen3-1.7B,base,first,item,nonce_templates_random,nonce templates,4,2,1.0
E04a,Qwen3-1.7B,base,first,item,nonce_templates_heldout_roots,nonce held-out roots,2,2,0.5
E04a,Qwen3-1.7B,base,first,item,nonce_templates_heldout_roots,nonce held-out roots,3,14,0.5714285714285714
E04a,Qwen3-1.7B,base,first,item,nonce_templates_heldout_roots,nonce held-out roots,4,4,1.0
E04a,Qwen3-1.7B,base,first,item,train_real_test_nonce_overlap,real -> nonce,2,22,0.36363636363636365
E04a,Qwen3-1.7B,base,first,item,train_real_test_nonce_overlap,real -> nonce,3,66,0.5757575757575758
E04a,Qwen3-1.7B,base,first,item,train_real_test_nonce_overlap,real -> nonce,4,12,1.0
E04a,Qwen3-1.7B,base,first,item,train_nonce_test_real_overlap,nonce -> real,1,11,0.36363636363636365
E04a,Qwen3-1.7B,base,first,item,train_nonce_test_real_overlap,nonce -> real,2,21,0.7619047619047619
E04a,Qwen3-1.7B,base,first,item,train_nonce_test_real_overlap,nonce -> real,3,18,0.8888888888888888
E04a,Qwen3-1.7B,base,first,item,real_roots_random,real roots,1,2,0.5
E04a,Qwen3-1.7B,base,first,item,real_roots_random,real roots,2,8,0.5
E04a,Qwen3-1.7B,base,first,item,real_roots_random,real roots,3,11,0.45454545454545453
E04a,Qwen3-1.7B,base,first,item,nonce_roots_random,nonce roots,2,7,0.7142857142857143
E04a,Qwen3-1.7B,base,first,item,nonce_roots_random,nonce roots,3,11,0.9090909090909091
E04a,Qwen3-1.7B,base,first,item,nonce_roots_random,nonce roots,4,2,0.0
E04a,Qwen3-1.7B,base,first,item,nonce_roots_heldout_templates,nonce roots held-out templates,2,1,1.0
E04a,Qwen3-1.7B,base,first,item,nonce_roots_heldout_templates,nonce roots held-out templates,3,12,0.08333333333333333
E04a,Qwen3-1.7B,base,first,item,nonce_roots_heldout_templates,nonce roots held-out templates,4,7,0.0
E04b,Qwen3-1.7B,base,mean,item,real_templates_random,real templates,1,4,0.75
E04b,Qwen3-1.7B,base,mean,item,real_templates_random,real templates,2,15,0.6
E04b,Qwen3-1.7B,base,mean,item,real_templates_random,real templates,3,7,0.8571428571428571
E04b,Qwen3-1.7B,base,mean,item,nonce_templates_random,nonce templates,2,3,1.0
E04b,Qwen3-1.7B,base,mean,item,nonce_templates_random,nonce templates,3,15,0.8
E04b,Qwen3-1.7B,base,mean,item,nonce_templates_random,nonce templates,4,2,1.0
E04b,Qwen3-1.7B,base,mean,item,nonce_templates_heldout_roots,nonce held-out roots,2,2,1.0
E04b,Qwen3-1.7B,base,mean,item,nonce_templates_heldout_roots,nonce held-out roots,3,14,0.9285714285714286
E04b,Qwen3-1.7B,base,mean,item,nonce_templates_heldout_roots,nonce held-out roots,4,4,1.0
E04b,Qwen3-1.7B,base,mean,item,train_real_test_nonce_overlap,real -> nonce,2,22,0.36363636363636365
